analytical method group;analytical method subgroup;parent_method;name alter;name;id
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;AAS;;AAS
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;F-AAS;Flame AAS ;F_AAS
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;GF-AAS;Graphite Furnace AAS ;GF_AAS
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;CV-AAS;Cold Vapour AAS ;CV_AAS
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;TDA-AAS;Thermal Decomposition AAS ;TDA_AAS
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;DMA;Direct Mercury Analyzer ;DMA
Spectroscopy ;Atomic Absorption Spectroscopy (AAS) ;aas;AMA;Advanced Mercury Analyzer ;AMA
Spectroscopy ;Atomic Emission Spectroscopy (AES) ;aes;AES;Direct AES ;AES
Spectroscopy ;Atomic Emission Spectroscopy (AES) ;aes;F-AES;Flame AES ;F_AES
Spectroscopy ;Atomic Emission Spectroscopy (AES) ;aes;MPAES;Plasma AES ;MPAES
Spectroscopy ;Atomic Emission Spectroscopy (AES) ;aes;GD-AES;Glow Discharge AES ;GD_AES
Spectroscopy ;Atomic Fluorescence Spectroscopy (AFS) ;afs;AFS;Direct AFS ;AFS
Spectroscopy ;Atomic Fluorescence Spectroscopy (AFS) ;afs;HG-AFS;Hydride Generation AFS ;HG_AFS
Spectroscopy ;Atomic Fluorescence Spectroscopy (AFS) ;afs;FI-AFS;Flow Injection AFS ;FI_AFS
Spectroscopy ;Atomic Fluorescence Spectroscopy (AFS) ;afs;CV-AFS;Cold Vapor AFS ;CV_AFS
Spectroscopy ;Inductively Coupled Plasma Spectroscopy (ICP);icp;ICP-AES;Atomic Emission Spectroscopy ;ICP_AES
Spectroscopy ;Inductively Coupled Plasma Spectroscopy (ICP);icp;ICP-OES ;Optical Emission Spectroscopy ;ICP_OES 
Spectroscopy ;X-ray Fluorescence (XRF);xrf;EDXRF;Energy-Dispersive ;EDXRF
Spectroscopy ;X-ray Fluorescence (XRF);xrf;WDXRF;Wavelength-Dispersive ;WDXRF
Spectroscopy ;X-ray Fluorescence (XRF);xrf;TXRF;Total Reflection ;TXRF
Spectroscopy ;Nuclear Magnetic Resonance (NMR);nmr;1H-NMR;Proton NMR;1H_NMR
Spectroscopy ;Nuclear Magnetic Resonance (NMR);nmr;13C-NMR;Carbon NMR;13C_NMR
Spectroscopy ;UV-Visile Spectroscopy (UV-Vis);uvvis;UV-Vis;Single Wavelength;UV_Vis
Spectroscopy ;UV-Visile Spectroscopy (UV-Vis);uvvis;UV-Vis / DAD;Multi-Wavelength / DAD;UV_Vis _ DAD
Mass Spectrometry ;ICP Mass Spectrometry (ICP-MS);icpms;ICP-MS;;ICP_MS
Mass Spectrometry ;ICP Mass Spectrometry (ICP-MS);icpms;ICP-MS/MS;;ICP_MS_MS
Mass Spectrometry ;ICP Mass Spectrometry (ICP-MS);icpms;ICP-DRC-MS;;ICP_DRC_MS
Mass Spectrometry ;ICP Mass Spectrometry (ICP-MS);icpms;ICP-KED-MS;;ICP_KED_MS
Mass Spectrometry ;Gas Chromatography – Mass Spectrometry (GC-MS) ;gcms;GC-MS;;GC_MS
